Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/13/2016,21133,31608,159792,82,15
1/14/2016,23780,37295,159813,123,29
1/15/2016,28435,45993,159841,379,27
1/16/2016,19178,35791,159885,803,37
1/17/2016,12024,20487,159910,387,22
1/18/2016,12718,19998,159931,123,13
1/19/2016,17281,26966,159957,64,12
1/20/2016,23419,35477,159972,126,11
1/21/2016,23671,36048,159991,133,15
1/22/2016,20950,31344,160004,115,6
1/23/2016,0,0,160005,0,0
1/24/2016,0,0,160013,0,0
1/25/2016,0,0,160020,0,0
1/26/2016,0,0,160028,0,0
1/27/2016,6760,13698,160039,54,6
1/28/2016,11944,22314,160053,81,9
1/29/2016,16028,26896,160064,118,27
1/30/2016,12964,23350,160084,328,23
1/31/2016,16112,31280,160118,533,17
2/1/2016,24334,42380,160160,202,31
2/2/2016,28527,47742,160189,280,31
2/3/2016,16203,24225,160216,63,12
2/4/2016,27765,47458,160247,304,24
2/5/2016,13669,25538,160257,102,7
2/6/2016,16933,38782,160280,586,35
2/7/2016,17605,31524,160316,622,30
2/8/2016,19026,28648,160335,80,20
2/9/2016,22740,40198,160364,156,9
2/10/2016,22418,38402,160395,130,17
2/11/2016,18747,27783,160425,87,15
2/12/2016,16445,27143,160450,104,16
2/13/2016,6625,11589,160459,46,4
2/14/2016,4652,6934,160468,78,4
2/15/2016,5883,8747,160480,43,1
2/16/2016,14225,27802,160505,53,19
2/17/2016,23572,38304,160528,182,26
2/18/2016,22261,34431,160550,202,26
2/19/2016,21959,35317,160568,268,17
2/20/2016,24484,53540,160618,1710,50
2/21/2016,20052,41645,160685,1228,29
2/22/2016,28233,48237,160749,455,37
2/23/2016,16133,26379,160784,62,10
2/24/2016,9761,14994,160814,38,3
2/25/2016,25102,42707,160849,237,23
2/26/2016,22574,36101,160887,254,19
2/27/2016,17226,37583,160910,706,18
2/28/2016,25440,61595,160982,2335,43
2/29/2016,27957,47933,161089,376,58
3/1/2016,30509,55160,161146,470,66
3/2/2016,26195,43535,161198,235,35
3/3/2016,24061,37848,161243,215,22
3/4/2016,17369,29100,161268,150,16
3/5/2016,18023,36875,161310,785,46
3/6/2016,18832,36377,161379,837,40
3/7/2016,31492,56232,161493,633,58
3/8/2016,36521,67958,161604,723,98
3/9/2016,41489,81662,161732,1226,125
3/10/2016,42252,82079,161867,1271,111
3/11/2016,38193,76636,161987,1266,79
3/12/2016,32770,81491,162086,3247,105
3/13/2016,27549,63214,162214,2216,67
3/14/2016,10930,16498,162289,70,17
3/15/2016,31595,57722,162380,582,79
3/16/2016,36067,68713,162482,930,78
3/17/2016,35390,65353,162583,785,98
3/18/2016,34647,69122,162670,933,87
3/19/2016,24048,49113,162733,1411,69
3/20/2016,16676,29737,162795,633,40
3/21/2016,26414,44457,162890,428,57
3/22/2016,33496,62248,163000,705,99
3/23/2016,40981,80289,163136,1279,120
3/24/2016,36495,67590,163216,1045,101
3/25/2016,34091,70525,163320,1684,128
3/26/2016,27474,67267,163407,2834,108
3/27/2016,22481,52462,163501,2080,67
3/28/2016,20344,35548,163589,375,60
3/29/2016,31481,55067,163681,588,97
3/30/2016,33674,61264,163770,769,64
3/31/2016,38192,79447,163865,1141,91
1/1/2017,16009,50761,206624,1237,33
1/2/2017,8921,21545,206675,142,15
1/3/2017,14198,25879,206728,42,15
1/4/2017,34039,69966,206778,475,29
1/5/2017,28393,52446,206845,214,17
1/6/2017,24177,48964,206879,157,17
1/7/2017,4425,23556,206892,21,4
1/8/2017,6417,22756,206907,27,2
1/9/2017,15856,35209,206933,30,2
1/10/2017,23232,46216,206955,67,12
1/11/2017,32419,63099,206981,208,37
1/12/2017,39783,84763,207021,479,30
1/13/2017,33611,75847,207059,373,43
1/14/2017,13819,43090,207087,252,33
1/15/2017,17384,50738,207120,476,19
1/16/2017,24110,51664,207163,448,30
1/17/2017,18646,40697,207198,63,15
1/18/2017,30857,57978,207224,146,17
1/19/2017,36561,72077,207262,391,27
1/20/2017,26752,56479,207288,184,19
1/21/2017,26610,64662,207336,957,31
1/22/2017,20523,49368,207368,520,25
1/23/2017,15822,37687,207399,54,20
1/24/2017,13171,35619,207414,28,5
1/25/2017,36931,71418,207453,301,29
1/26/2017,33002,63750,207501,223,28
1/27/2017,32394,70189,207540,231,23
1/28/2017,21302,53955,207567,402,25
1/29/2017,22527,62854,207620,585,26
1/30/2017,29616,59975,207673,163,32
1/31/2017,25169,48684,207706,62,19
2/1/2017,35221,77639,207749,194,22
2/2/2017,34517,70727,207793,216,27
2/3/2017,29632,64701,207825,181,32
2/4/2017,19204,45120,207861,413,14
2/5/2017,20059,50532,207890,337,19
2/6/2017,33415,72513,207930,305,49
2/7/2017,23053,57760,207962,54,17
2/8/2017,40428,90430,208011,483,32
2/9/2017,0,0,208018,0,0
2/10/2017,1997,8344,208030,15,1
2/11/2017,8959,26272,208037,170,13
2/12/2017,5801,26468,208054,26,5
2/13/2017,23857,58710,208076,72,18
2/14/2017,29668,78530,208099,154,16
2/15/2017,32052,72383,208137,170,30
2/16/2017,29120,63551,208163,104,16
2/17/2017,28735,67530,208200,247,37
2/18/2017,30571,99126,208258,2078,114
2/19/2017,36963,125166,208347,3746,122
2/20/2017,32292,91412,208436,1512,75
2/21/2017,32643,84767,208516,308,48
2/22/2017,38119,90651,208594,439,36
2/23/2017,42434,98554,208658,828,88
2/24/2017,47031,117155,208767,1534,119
2/25/2017,33345,104309,208886,2035,77
2/26/2017,24713,75196,208966,849,33
2/27/2017,35984,80194,209035,388,42
2/28/2017,41835,92642,209119,504,60
3/1/2017,40592,85944,209229,393,51
3/2/2017,35739,73839,209310,320,44
3/3/2017,31105,68702,209370,292,39
3/4/2017,15646,43108,209404,252,14
3/5/2017,15919,50924,209451,312,22
3/6/2017,32467,72776,209536,321,39
3/7/2017,29683,63654,209587,181,29
3/8/2017,43470,101573,209656,694,55
3/9/2017,45251,99450,209728,764,34
3/10/2017,18412,41971,209758,95,15
3/11/2017,15185,48379,209781,183,27
3/12/2017,13442,38114,209799,167,9
3/13/2017,27417,58768,209827,205,14
3/14/2017,0,0,209843,0,0
3/15/2017,0,0,209859,0,0
3/16/2017,0,0,209870,0,0
3/17/2017,7098,25393,209888,151,15
3/18/2017,4106,17446,209910,93,6
3/19/2017,10550,33344,209943,339,21
3/20/2017,27378,60363,210002,288,21
3/21/2017,36824,78104,210073,479,47
3/22/2017,26927,55713,210121,140,15
3/23/2017,29885,74345,210160,291,25
3/24/2017,34019,82681,210199,485,39
3/25/2017,29647,86293,210267,1721,60
3/26/2017,19893,55139,210318,546,30
3/27/2017,26301,59614,210388,318,40
3/28/2017,21590,46003,210448,91,20
3/29/2017,42430,91525,210559,830,97
3/30/2017,39746,91041,210623,669,61
3/31/2017,6946,23462,210670,20,5
1/1/2018,5499,11483,253490,123,7
1/2/2018,18818,39352,253558,125,12
1/3/2018,24299,42853,253591,164,4
1/4/2018,1922,5328,253604,2,1
1/5/2018,4972,14303,253614,14,0
1/6/2018,4294,9479,253624,9,2
1/7/2018,5640,9387,253640,41,4
1/8/2018,15820,31294,253661,45,4
1/9/2018,25090,50981,253690,112,17
1/10/2018,28252,50218,253720,142,18
1/11/2018,33961,66584,253757,244,15
1/12/2018,22252,46403,253786,152,16
1/13/2018,17758,30418,253809,355,31
1/14/2018,12394,32949,253827,183,9
1/15/2018,17637,41770,253857,150,8
1/16/2018,30278,60053,253895,189,13
1/17/2018,19010,36319,253921,52,12
1/18/2018,27662,52573,253952,92,18
1/19/2018,30525,50322,253983,216,15
1/20/2018,28507,59336,254025,1044,41
1/21/2018,27908,61571,254092,1013,26
1/22/2018,36864,68638,254144,345,25
1/23/2018,28796,63693,254191,179,19
1/24/2018,36078,69596,254236,232,32
1/25/2018,31147,51927,254263,181,16
1/26/2018,33073,61857,254301,313,23
1/27/2018,34348,70146,254368,1415,41
1/28/2018,20100,38221,254415,334,22
1/29/2018,36799,68868,254466,274,33
1/30/2018,27996,59260,254492,114,15
1/31/2018,31276,54440,254539,141,19
2/1/2018,35561,66984,254590,212,27
2/2/2018,26313,50427,254620,129,18
2/3/2018,18385,40020,254640,263,23
2/4/2018,13959,35121,254670,224,7
2/5/2018,29068,56061,254725,193,21
2/6/2018,34102,68060,254760,160,18
2/7/2018,15289,31573,254781,30,4
2/8/2018,31563,60985,254806,168,20
2/9/2018,31567,57070,254833,223,25
2/10/2018,16323,37641,254857,343,26
2/11/2018,8809,21167,254877,85,2
2/12/2018,35138,68283,254922,339,40
2/13/2018,35189,69420,254968,252,31
2/14/2018,39591,80081,255002,408,39
2/15/2018,44193,88474,255044,501,28
2/16/2018,29191,57219,255088,316,37
2/17/2018,17921,38834,255118,537,51
2/18/2018,21537,50512,255151,938,40
2/19/2018,25677,62150,255217,553,50
2/20/2018,44478,98129,255306,906,85
2/21/2018,53110,118306,255430,1596,77
2/22/2018,27010,54857,255485,147,18
2/23/2018,25633,49639,255534,165,22
2/24/2018,25550,61251,255597,956,51
2/25/2018,16149,34052,255654,231,18
2/26/2018,42570,84614,255747,448,54
2/27/2018,48514,107682,255836,664,48
2/28/2018,50707,100855,255944,637,52
3/1/2018,45562,91489,256022,571,45
3/2/2018,6855,23277,256050,21,7
3/3/2018,28361,61107,256117,851,56
3/4/2018,25262,60490,256189,704,33
3/5/2018,36774,75190,256263,357,47
3/6/2018,42688,80995,256307,516,27
3/7/2018,8188,22312,256333,16,7
3/8/2018,28440,53403,256360,188,17
3/9/2018,34912,70068,256393,344,43
3/10/2018,25443,59343,256438,689,43
3/11/2018,27596,67622,256517,1173,46
3/12/2018,36339,76569,256578,351,39
3/13/2018,23137,46021,256623,133,14
3/14/2018,35377,62352,256673,269,39
3/15/2018,39572,72192,256724,462,66
3/16/2018,34921,62381,256763,383,55
3/17/2018,27671,62524,256823,1015,56
3/18/2018,25158,55182,256880,839,36
3/19/2018,39278,83086,256933,544,39
3/20/2018,35532,69573,256986,187,17
3/21/2018,3755,11799,257004,3,1
3/22/2018,27308,61715,257040,216,25
3/23/2018,38527,77668,257098,543,55
3/24/2018,34396,79562,257167,1755,88
3/25/2018,25562,62656,257226,710,24
3/26/2018,40295,88831,257315,718,87
3/27/2018,41354,88986,257378,524,63
3/28/2018,41880,80607,257447,586,64
3/29/2018,39288,84590,257501,544,65
3/30/2018,34784,78825,257584,1006,147
3/31/2018,41779,109399,257701,3856,151
1/1/2019,22145,44131,297823,2429,49
1/2/2019,38249,58975,297908,1062,36
1/3/2019,42181,62500,297976,969,31
1/4/2019,44420,65739,298017,1173,33
1/5/2019,17636,24326,298048,462,8
1/6/2019,31764,50481,298094,1711,31
1/7/2019,36928,52310,298152,514,18
1/8/2019,41728,60469,298218,654,23
1/9/2019,44882,63480,298263,646,23
1/10/2019,39449,53225,298299,478,13
1/11/2019,33196,44226,298331,465,23
1/12/2019,25431,35133,298361,772,26
1/13/2019,23020,33018,298399,700,18
1/14/2019,35408,48021,298439,402,9
1/15/2019,39538,54751,298470,511,19
1/16/2019,40854,56553,298510,513,7
1/17/2019,39417,53430,298546,463,14
1/18/2019,34478,47215,298574,542,27
1/19/2019,23933,34580,298595,865,28
1/20/2019,14440,19131,298616,368,8
1/21/2019,10392,11911,298632,141,5
1/22/2019,28913,37788,298665,315,14
1/23/2019,42028,59442,298692,526,10
1/24/2019,20328,27931,298721,260,7
1/25/2019,39298,54567,298748,621,21
1/26/2019,26607,38634,298778,933,18
1/27/2019,30338,48280,298828,1510,19
1/28/2019,36173,49109,298878,448,13
1/29/2019,31355,42066,298919,341,12
1/30/2019,25496,33178,298947,263,8
1/31/2019,18882,22917,298975,186,8
2/1/2019,25289,31752,298998,255,11
2/2/2019,22280,30802,299032,627,19
2/3/2019,32274,52757,299103,1743,24
2/4/2019,47049,73262,299172,1180,42
2/5/2019,54710,87917,299249,1770,42
2/6/2019,39616,55696,299296,754,27
2/7/2019,43840,62728,299341,765,22
2/8/2019,36964,52442,299383,864,22
2/9/2019,24041,33607,299409,811,10
2/10/2019,24434,35873,299449,935,6
2/11/2019,39197,54362,299493,563,20
2/12/2019,16044,22190,299521,150,4
2/13/2019,35523,48870,299551,439,21
2/14/2019,42313,61381,299589,773,26
2/15/2019,47524,74286,299633,1590,58
2/16/2019,31347,52760,299683,2030,58
2/17/2019,24287,39660,299711,1439,30
2/18/2019,26176,37500,299757,810,17
2/19/2019,35226,49024,299810,595,10
2/20/2019,20690,28763,299835,221,15
